gene_id	n_exons
ENSG00000000005.6	7
ENSG00000000938.13	13
ENSG00000001561.7	4
ENSG00000001626.16	27
ENSG00000002726.21	7
ENSG00000002745.13	4
ENSG00000002933.9	7
ENSG00000003096.14	8
ENSG00000003147.19	15
ENSG00000004809.14	10
ENSG00000004846.17	28
ENSG00000004939.16	20
ENSG00000004948.16	15
ENSG00000005001.10	6
ENSG00000005102.14	4
ENSG00000005381.8	12
ENSG00000005421.9	9
ENSG00000005471.19	28
ENSG00000005513.10	3
ENSG00000005844.19	32
ENSG00000005961.19	30
ENSG00000006047.13	9
ENSG00000006059.4	7
ENSG00000006071.16	39
ENSG00000006116.4	4
ENSG00000006128.12	7
ENSG00000006377.11	3
ENSG00000006459.11	20
ENSG00000006555.11	7
ENSG00000006638.13	4
ENSG00000006659.13	5
ENSG00000006747.15	16
ENSG00000006788.14	41
ENSG00000007001.13	10
ENSG00000007038.11	6
ENSG00000007062.12	28
ENSG00000007129.18	8
ENSG00000007237.19	15
ENSG00000007264.15	14
ENSG00000007306.15	5
ENSG00000007312.13	6
ENSG00000007314.12	24
ENSG00000007350.17	13
ENSG00000007933.13	9
ENSG00000007952.18	13
ENSG00000008118.10	14
ENSG00000008196.13	7
ENSG00000008197.5	8
ENSG00000008277.15	32
ENSG00000008311.16	25
ENSG00000009765.15	6
ENSG00000010310.9	15
ENSG00000010319.7	16
ENSG00000010610.10	10
ENSG00000010932.17	9
ENSG00000011083.9	16
ENSG00000011201.12	14
ENSG00000011347.10	14
ENSG00000011465.18	9
ENSG00000011590.14	7
ENSG00000012124.17	14
ENSG00000012223.13	20
ENSG00000012504.15	12
ENSG00000012779.11	14
ENSG00000013725.14	13
ENSG00000014257.16	11
ENSG00000015285.11	12
ENSG00000015520.15	20
ENSG00000016082.15	6
ENSG00000016402.14	7
ENSG00000016490.16	15
ENSG00000016602.9	14
ENSG00000018280.17	16
ENSG00000018607.7	5
ENSG00000018625.15	23
ENSG00000019169.11	17
ENSG00000019991.18	18
ENSG00000020219.9	1
ENSG00000021300.14	8
ENSG00000021461.17	14
ENSG00000021488.13	13
ENSG00000021645.20	22
ENSG00000022355.18	11
ENSG00000023892.11	11
ENSG00000028137.19	10
ENSG00000029559.7	7
ENSG00000030304.14	15
ENSG00000030419.17	9
ENSG00000034239.11	6
ENSG00000034971.17	4
ENSG00000035720.8	10
ENSG00000036530.9	15
ENSG00000036565.15	17
ENSG00000036828.17	7
ENSG00000038295.8	22
ENSG00000038945.15	10
ENSG00000039537.14	18
ENSG00000039600.11	6
ENSG00000039987.7	10
ENSG00000040608.14	3
ENSG00000040731.10	12
ENSG00000042062.13	22
ENSG00000042304.13	4
ENSG00000042813.8	8
ENSG00000042832.12	48
ENSG00000043039.7	4
ENSG00000043462.13	21
ENSG00000043591.6	1
ENSG00000044524.11	17
ENSG00000046774.10	3
ENSG00000046889.19	40
ENSG00000047365.12	33
ENSG00000047617.16	27
ENSG00000048052.23	26
ENSG00000048740.18	15
ENSG00000049089.15	32
